Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony
12289,New Delhi,Sector 12 Dwarka,2100,11900,2.5,Flat,4 BHK,4,Yes
12290,New Delhi,Sector 12 Dwarka,3500,14290,5,Flat,5 BHK,2,Yes
12291,New Delhi,Sector 7 Rohini,1000,9300,0.93,Flat,2 BHK,3,No
12292,New Delhi,Palam,990,5760,0.57,Flat,3 BHK,3,No
12293,New Delhi,Hastsal,600,4170,0.25,Flat,2 BHK,2,Yes
12294,New Delhi,Tilak Nagar,1000,7000,0.7,Flat,2 BHK,3,Yes
12295,New Delhi,Chhattarpur,450,4440,0.2,Flat,1 BHK,2,Yes
12296,New Delhi,Sewak Park,900,5670,0.51,Flat,3 BHK,3,Yes
12297,New Delhi,Sector 12 Dwarka,2100,11900,2.5,Flat,4 BHK,4,Yes
12298,New Delhi,Sector 12 Dwarka,1420,9860,1.4,Flat,2 BHK,3,No
12299,New Delhi,Mayur Vihar Phase 1,1450,22410,3.25,Flat,3 BHK,3,Yes
12300,New Delhi,Pitampura,900,15550,1.4,Flat,2 BHK,3,No
12301,New Delhi,Uttam Nagar,850,3760,0.32,Flat,3 BHK,3,Yes
12302,New Delhi,Paschim Vihar,1000,15500,1.55,Flat,3 BHK,3,Yes
12303,New Delhi,Mansa Ram Park,660,19700,1.3,Independent House,4 BHK,2,No
12304,New Delhi,Dwarka Mor,450,3670,0.17,Flat,1 BHK,2,No
12305,New Delhi,Dilshad Garden,1050,5900,0.62,Flat,2 BHK,3,No
12306,New Delhi,Uttam Nagar,800,5500,0.44,Flat,3 BHK,5,No
12307,New Delhi,Chhattarpur,900,3890,0.35,Flat,2 BHK,3,Yes
12308,New Delhi,Sector 12 Dwarka,1853,11330,2.1,Flat,3 BHK,3,Yes
12309,New Delhi,Bindapur,900,8890,0.8,Independent House,4 BHK,3,Yes
12310,New Delhi,Palam,720,7220,0.52,Flat,3 BHK,2,No
12311,New Delhi,Sultanpur,4420,2040,0.9,Flat,3 BHK,5,Yes
12312,New Delhi,Sector 17 Rohini,300,8000,0.24,Flat,1 BHK,1,Yes
12313,New Delhi,Sector 8 Dwarka,648,13120,0.85,Flat,2 BHK,2,Yes
12314,New Delhi,Burari,630,3810,0.24,Flat,2 BHK,2,Yes
12315,New Delhi,Sector 12 Dwarka,1700,12650,2.15,Flat,3 BHK,3,Yes
12316,New Delhi,Chhattarpur,650,4920,0.32,Flat,2 BHK,2,Yes
12317,New Delhi,Vikaspuri,1100,7730,0.85,Flat,3 BHK,3,Yes
12318,New Delhi,Sector 9 Rohini,2000,6750,1.35,Flat,3 BHK,5,Yes
12319,New Delhi,Sector 12 Dwarka,2100,11900,2.5,Flat,4 BHK,4,Yes
12320,New Delhi,Sector 12 Dwarka,3500,12140,4.25,Flat,5 BHK,1,Yes
12321,New Delhi,Sector 4 Rohini,650,13850,0.9,Flat,2 BHK,2,No
12322,New Delhi,Mayur Vihar Phase 1,968,11470,1.11,Flat,2 BHK,3,Yes
12323,New Delhi,Sector 12 Dwarka,1850,11620,2.15,Flat,3 BHK,3,Yes
12324,New Delhi,Patparganj,750,14670,1.1,Flat,2 BHK,2,No
12325,New Delhi,Sector 7 Rohini,600,14170,0.85,Independent House,3 BHK,2,No
12326,New Delhi,Mehrauli,1000,1700,0.17,Flat,1 BHK,3,Yes
12327,New Delhi,Razapur Khurd,540,3240,0.17,Flat,2 BHK,2,Yes
12328,New Delhi,Chandra Park,720,6250,0.45,Flat,2 BHK,2,No
12329,New Delhi,Sector 12 Dwarka,2150,11630,2.5,Flat,4 BHK,4,Yes
12330,New Delhi,Sector 12 Dwarka,2100,15000,3.15,Flat,4 BHK,4,Yes
12331,New Delhi,Mehrauli,1100,4090,0.45,Flat,3 BHK,3,Yes
12332,New Delhi,Dwarka Mor,670,6720,0.45,Flat,2 BHK,2,Yes
12333,New Delhi,Mehrauli,1100,3910,0.43,Flat,3 BHK,3,Yes
12334,New Delhi,Sector 12 Dwarka,2650,11700,3.1,Flat,4 BHK,4,Yes
12335,New Delhi,Sector 12 Dwarka,1420,9860,1.4,Flat,2 BHK,3,Yes
12336,New Delhi,Sector 7 Dwarka,1100,7730,0.85,Flat,2 BHK,3,Yes
12337,New Delhi,Dallupura,1000,8500,0.85,Flat,2 BHK,3,No
12338,New Delhi,Dallupura,1250,9600,1.2,Flat,2 BHK,3,No
12339,New Delhi,Sector 12 Dwarka,3500,14290,5,Flat,5 BHK,3,Yes
12340,New Delhi,Bindapur,455,4620,0.21,Flat,2 BHK,2,Yes
12341,New Delhi,Sector 13 Rohini,1350,17780,2.4,Flat,3 BHK,3,No
12342,New Delhi,Sector 1 Dwarka,753,12620,0.95,Flat,2 BHK,2,Yes
12343,New Delhi,Mahavir Enclave,900,9440,0.85,Flat,2 BHK,3,Yes
12344,New Delhi,Sector 13 Rohini,1300,11540,1.5,Flat,2 BHK,3,No
12345,New Delhi,Sector 12 Dwarka,2750,11270,3.1,Flat,4 BHK,4,Yes
12346,New Delhi,Sewak Park,900,3890,0.35,Flat,2 BHK,3,No
12347,New Delhi,Shalimar Bagh,1350,23700,3.2,Flat,3 BHK,3,Yes
12348,New Delhi,Sector 13 Dwarka,850,15290,1.3,Flat,2 BHK,3,Yes
12349,New Delhi,Sector 10 Dwarka,1300,12310,1.6,Flat,3 BHK,3,No
12350,New Delhi,Sector 8 Rohini,1700,9410,1.6,Flat,3 BHK,3,Yes
12351,New Delhi,Sector 12 Dwarka,2150,14650,3.15,Flat,4 BHK,4,Yes
12352,New Delhi,Palam,1000,5200,0.52,Flat,3 BHK,3,Yes
12353,New Delhi,Uttam Nagar,900,7780,0.7,Flat,3 BHK,3,No
12354,New Delhi,Dwarka Mor,1000,3000,0.3,Flat,3 BHK,3,Yes
12355,New Delhi,Moti Nagar,1622,18500,3,Flat,3 BHK,3,Yes
12356,New Delhi,Uttam Nagar,650,5540,0.36,Flat,2 BHK,2,No
12357,New Delhi,Uttam Nagar,900,6670,0.6,Flat,3 BHK,3,Yes
12358,New Delhi,Jasola,1800,12780,2.3,Flat,3 BHK,3,Yes
12359,New Delhi,Sector 16B Dwarka,1000,1900,0.19,Flat,1 BHK,3,No
12360,New Delhi,Sector 16B Dwarka,450,3560,0.16,Flat,1.5 BHK,2,No
12361,New Delhi,Mehrauli,405,3460,0.14,Flat,1 BHK,2,No
12362,New Delhi,Mehrauli,495,3030,0.15,Flat,1 BHK,2,Yes
12363,New Delhi,Sector 17 Rohini,700,8570,0.6,Flat,2 BHK,2,Yes
12364,New Delhi,Sector 12 Dwarka,1400,10000,1.4,Flat,2 BHK,3,Yes
12365,New Delhi,Chhattarpur,765,3270,0.25,Flat,2 BHK,2,Yes
12366,New Delhi,Nangli Sakrawati,580,3790,0.22,Flat,2 BHK,2,Yes
12367,New Delhi,Sector 2 Dwarka,4000,10000,4,Flat,4 BHK,5,Yes
12368,New Delhi,Sector 24 Rohini,400,8000,0.32,Flat,2 BHK,2,No
12369,New Delhi,Sector 15 Rohini,1100,12270,1.35,Flat,2 BHK,3,No
12370,New Delhi,Mehrauli,810,5550,0.45,Flat,2 BHK,3,Yes
