Id,City,Locality,Total_Area,Price_per_SQFT,Price_in_Cr,Property_Type,BHK_Type,Baths,Balcony,City_Level_Annual_CAGR,Locality_Level_Annual_CAGR,CAGR_source,1yr_Forecast_PriceSQFT,2yr_Forecast_PriceSQFT,3yr_Forecast_PriceSQFT
96,Chennai,Medavakkam,1512,5160,0.78,Flat,3 BHK,3,No,0.0619,N/A,city,5479.4,5818.58,6178.75
97,Chennai,Thirumullaivoyal,967,5010,0.48,Flat,2 BHK,3,Yes,0.0619,N/A,city,5320.12,5649.43,5999.13
98,Chennai,Ponmar,1669,4310,0.72,Villa,2 BHK,3,Yes,0.0619,N/A,city,4576.79,4860.09,5160.93
99,Chennai,Vandalur,1065,3380,0.36,Flat,2 BHK,3,No,0.0619,N/A,city,3589.22,3811.39,4047.32
100,Chennai,Anna Nagar West,2661,11270,3,Flat,4 BHK,4,Yes,0.0619,N/A,city,11967.61,12708.41,13495.06
101,Chennai,Mogappair,1000,7200,0.72,Flat,2 BHK,3,No,0.0619,N/A,city,7645.68,8118.95,8621.51
102,Chennai,Perambur,8000,8130,6.5,Independent House,10 BHK,1,Yes,0.0619,N/A,city,8633.25,9167.64,9735.12
103,Chennai,Ayappakkam,640,2660,0.17,Flat,1 BHK,2,Yes,0.0619,N/A,city,2824.65,2999.5,3185.17
104,Chennai,Virugambakkam,960,6090,0.58,Flat,2 BHK,3,No,0.0619,N/A,city,6466.97,6867.28,7292.36
105,Chennai,Ayappakkam,1168,5010,0.59,Flat,2 BHK,3,Yes,0.0619,N/A,city,5320.12,5649.43,5999.13
106,Chennai,Kotturpuram,1650,13940,2.3,Flat,3 BHK,3,Yes,0.0619,N/A,city,14802.89,15719.18,16692.2
107,Chennai,Chromepet,763,5240,0.4,Flat,2 BHK,2,No,0.0619,N/A,city,5564.36,5908.79,6274.54
108,Chennai,Tiruvottiyur,836,5380,0.45,Flat,2 BHK,3,No,0.0619,N/A,city,5713.02,6066.66,6442.18
109,Chennai,Nanganallur,518,7800,0.4,Flat,2 BHK,2,No,0.0619,N/A,city,8282.82,8795.53,9339.97
110,Chennai,Valasaravakkam,3500,8570,3,Independent House,6 BHK,4,Yes,0.0619,N/A,city,9100.48,9663.8,10261.99
111,Chennai,West Mambalam,620,9030,0.56,Flat,2 BHK,2,Yes,0.0619,N/A,city,9588.96,10182.51,10812.81
112,Chennai,Veppampattu,1000,3000,0.3,Villa,2 BHK,3,Yes,0.0619,N/A,city,3185.7,3382.89,3592.3
113,Chennai,T Nagar,1495,18390,2.75,Flat,3 BHK,3,No,0.0619,N/A,city,19528.34,20737.15,22020.77
114,Chennai,Kodambakkam,560,8040,0.45,Flat,2 BHK,2,Yes,0.0619,N/A,city,8537.68,9066.16,9627.35
115,Chennai,Madhavaram,831,5420,0.45,Flat,2 BHK,3,Yes,0.0619,N/A,city,5755.5,6111.76,6490.08
116,Chennai,Perambur,853,5860,0.5,Flat,2 BHK,3,Yes,0.0619,N/A,city,6222.73,6607.92,7016.95
117,Chennai,Velachery,994,6040,0.6,Flat,2 BHK,3,Yes,0.0619,N/A,city,6413.88,6810.89,7232.49
118,Chennai,Tiruvottiyur,1800,6110,1.1,Independent House,2 BHK,3,Yes,0.0619,N/A,city,6488.21,6889.83,7316.31
119,Chennai,Ayanavaram,547,7500,0.41,Flat,2 BHK,2,Yes,0.0619,N/A,city,7964.25,8457.24,8980.74
120,Chennai,Mylapore,730,6160,0.45,Flat,2 BHK,2,No,0.0619,N/A,city,6541.3,6946.21,7376.18
121,Chennai,West Tambaram,920,3590,0.33,Flat,2 BHK,3,Yes,0.0619,N/A,city,3812.22,4048.2,4298.78
122,Chennai,Koyambedu,1400,8210,1.15,Independent House,4 BHK,3,No,0.0619,N/A,city,8718.2,9257.86,9830.92
123,Chennai,Avadi,667,4800,0.32,Flat,2 BHK,2,No,0.0619,N/A,city,5097.12,5412.63,5747.67
124,Chennai,Veppampattu,1000,3900,0.39,Independent House,2 BHK,3,No,0.0619,N/A,city,4141.41,4397.76,4669.98
125,Chennai,Madipakkam,850,6410,0.54,Flat,2 BHK,3,Yes,0.0619,N/A,city,6806.78,7228.12,7675.54
126,Chennai,Kovilambakkam,951,4730,0.45,Flat,2 BHK,3,Yes,0.0619,N/A,city,5022.79,5333.7,5663.85
127,Chennai,Perumbakkam,1380,5580,0.77,Flat,3 BHK,3,Yes,0.0619,N/A,city,5925.4,6292.18,6681.67
128,Chennai,Saligramam,1196,9200,1.1,Flat,3 BHK,3,No,0.0619,N/A,city,9769.48,10374.21,11016.37
129,Chennai,Ambattur,4800,8750,4.2,Independent House,3 BHK,5,Yes,0.0619,N/A,city,9291.62,9866.78,10477.53
130,Chennai,Moolakazhani,690,5290,0.37,Flat,2 BHK,2,Yes,0.0619,N/A,city,5617.45,5965.17,6334.42
131,Chennai,Kolathur,982,6110,0.6,Flat,2 BHK,3,No,0.0619,N/A,city,6488.21,6889.83,7316.31
132,Chennai,Guduvancheri,600,6080,0.36,Independent House,2 BHK,2,No,0.0619,N/A,city,6456.35,6856,7280.39
133,Chennai,Pammal,770,3900,0.3,Flat,2 BHK,2,No,0.0619,N/A,city,4141.41,4397.76,4669.98
134,Chennai,Mathur,840,4700,0.39,Flat,2 BHK,3,Yes,0.0619,N/A,city,4990.93,5299.87,5627.93
135,Chennai,Mahindra World City,1650,2360,0.39,Independent House,3 BHK,3,Yes,0.0619,N/A,city,2506.08,2661.21,2825.94
136,Chennai,Anna Nagar West,1340,11420,1.53,Flat,3 BHK,3,Yes,0.0619,N/A,city,12126.9,12877.55,13674.67
137,Chennai,Panaiyur,3500,7430,2.6,Villa,4 BHK,5,Yes,0.0619,N/A,city,7889.92,8378.3,8896.92
138,Chennai,Saidapet,1881,12970,2.44,Flat,3 BHK,3,Yes,0.0619,N/A,city,13772.84,14625.38,15530.69
139,Chennai,Padur,2232,5600,1.25,Flat,4 BHK,4,Yes,0.0619,N/A,city,5946.64,6314.74,6705.62
140,Chennai,Padur,2117,6610,1.4,Villa,4 BHK,4,Yes,0.0619,N/A,city,7019.16,7453.64,7915.03
141,Chennai,Chembarambakkam,1426,6630,0.95,Flat,3 BHK,3,No,0.0619,N/A,city,7040.4,7476.2,7938.97
142,Chennai,Padur,1121,5350,0.6,Flat,2 BHK,3,Yes,0.0619,N/A,city,5681.16,6032.83,6406.26
143,Chennai,Padur,1261,5310,0.67,Flat,2 BHK,3,No,0.0619,N/A,city,5638.69,5987.72,6358.36
144,Chennai,Sholinganallur,1689,7820,1.32,Flat,3 BHK,3,Yes,0.0619,N/A,city,8304.06,8818.08,9363.92
145,Chennai,Padappai,886,5080,0.45,Flat,2 BHK,3,No,0.0619,N/A,city,5394.45,5728.37,6082.95
146,Chennai,Pallikaranai,620,7260,0.45,Flat,1 BK,2,No,0.0619,N/A,city,7709.39,8186.61,8693.36
147,Chennai,Poonamallee,1093,5490,0.6,Flat,2 BHK,3,Yes,0.0619,N/A,city,5829.83,6190.7,6573.9
148,Chennai,Vandalur,1047,6680,0.7,Flat,2 BHK,3,No,0.0619,N/A,city,7093.49,7532.58,7998.85
149,Chennai,Perumbakkam,1559,5450,0.85,Flat,3 BHK,3,Yes,0.0619,N/A,city,5787.36,6145.59,6526
150,Chennai,Thiruneermalai,853,5860,0.5,Flat,2 BHK,3,No,0.0619,N/A,city,6222.73,6607.92,7016.95
151,Chennai,Perungalathur,1317,3950,0.52,Flat,3 BHK,3,No,0.0619,N/A,city,4194.5,4454.14,4729.86
152,Chennai,Old Pallavaram,618,8410,0.52,Flat,1 BHK,2,No,0.0619,N/A,city,8930.58,9483.38,10070.4
153,Chennai,Ekkatuthangal,1200,24170,2.9,Villa,3 BHK,3,No,0.0619,N/A,city,25666.12,27254.86,28941.93
154,Chennai,Padur,2150,7670,1.65,Villa,3 BHK,4,Yes,0.0619,N/A,city,8144.77,8648.93,9184.3
155,Chennai,Chettipunyam,604,4800,0.29,Flat,2 BHK,2,Yes,0.0619,N/A,city,5097.12,5412.63,5747.67
156,Chennai,Chettipunyam,836,4540,0.38,Flat,2 BHK,3,No,0.0619,N/A,city,4821.03,5119.45,5436.34
157,Chennai,Gerugambakkam,1009,7130,0.72,Flat,1 BHK,3,Yes,0.0619,N/A,city,7571.35,8040.01,8537.69
158,Chennai,Manapakkam,425,11060,0.47,Flat,1 BK,2,Yes,0.0619,N/A,city,11744.61,12471.61,13243.6
159,Chennai,Kundrathur,711,6330,0.45,Flat,2 BHK,2,No,0.0619,N/A,city,6721.83,7137.91,7579.74
160,Chennai,Oragadam Ambattur,1545,8090,1.25,Villa,3 BHK,3,Yes,0.0619,N/A,city,8590.77,9122.54,9687.22
161,Chennai,Puzhal,1551,5700,0.88,Flat,3 BHK,3,No,0.0619,N/A,city,6052.83,6427.5,6825.36
162,Chennai,Oragadam Ambattur,1352,5920,0.8,Villa,3 BHK,3,No,0.0619,N/A,city,6286.45,6675.58,7088.8
163,Chennai,Kundrathur,711,6330,0.45,Flat,2 BHK,2,Yes,0.0619,N/A,city,6721.83,7137.91,7579.74
164,Chennai,Korattur,961,7490,0.72,Flat,2 BHK,3,No,0.0619,N/A,city,7953.63,8445.96,8968.77
165,Chennai,Moolakazhani,482,4980,0.24,Flat,1 BHK,2,Yes,0.0619,N/A,city,5288.26,5615.61,5963.21
166,Chennai,Karapakkam,1037,6940,0.72,Flat,2 BHK,3,No,0.0619,N/A,city,7369.59,7825.76,8310.18
167,Chennai,Padur,2200,6820,1.5,Flat,4 BHK,4,Yes,0.0619,N/A,city,7242.16,7690.45,8166.49
168,Chennai,Porur,1080,5090,0.55,Flat,2 BHK,3,Yes,0.0619,N/A,city,5405.07,5739.64,6094.93
169,Chennai,Mangadu,970,6490,0.63,Flat,2 BHK,3,No,0.0619,N/A,city,6891.73,7318.33,7771.33
170,Chennai,Mogappair,620,6770,0.42,Flat,1 BHK,2,No,0.0619,N/A,city,7189.06,7634.07,8106.61
171,Chennai,Siruseri,570,3420,0.19,Flat,1 BHK,2,Yes,0.0619,N/A,city,3631.7,3856.5,4095.22
172,Chennai,Anakaputhur,940,5850,0.55,Flat,2 BHK,3,Yes,0.0619,N/A,city,6212.12,6596.64,7004.98
173,Chennai,Oragadam Sriperambattur,1497,6610,0.99,Villa,3 BHK,3,No,0.0619,N/A,city,7019.16,7453.64,7915.03
174,Chennai,Senganmal,986,4260,0.42,Flat,2 BHK,3,No,0.0619,N/A,city,4523.69,4803.71,5101.06
175,Chennai,Padur,353,5810,0.21,Flat,1 BK,1,No,0.0619,N/A,city,6169.64,6551.54,6957.08
176,Chennai,Senganmal,613,4400,0.27,Flat,1 BK,2,Yes,0.0619,N/A,city,4672.36,4961.58,5268.7
177,Chennai,Chettipunyam,595,4030,0.24,Flat,1 BHK,2,Yes,0.0619,N/A,city,4279.46,4544.36,4825.65
178,Chennai,Kumananchavadi,710,5350,0.38,Flat,2 BHK,2,No,0.0619,N/A,city,5681.16,6032.83,6406.26
179,Chennai,KK Nagar,980,11940,1.17,Flat,2 BHK,3,No,0.0619,N/A,city,12679.09,13463.92,14297.34
180,Chennai,Nedunkundram,650,9230,0.6,Villa,2 BHK,2,No,0.0619,N/A,city,9801.34,10408.04,11052.3
181,Chennai,Perungudi,1080,7010,0.76,Flat,2 BHK,3,Yes,0.0619,N/A,city,7443.92,7904.7,8394
