Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
CasaGrand Monte Carlo,"3 BHK Flat for sale in Saidapet, Chennai",₹2.44 Cr,"Gotha Medu Housing Board, Saidapet,Chennai",1881,12970,3,Yes
Pacifica Happiness Towers,"4 BHK Flat for sale in Padur, Chennai",₹1.25 Cr,"Padur, Chennai",2232,5600,4,Yes
Pacifica Aurum Villas,"4 BHK Villa for sale in Padur, Chennai",₹1.4 Cr,"Padur, Chennai",2117,6610,4,Yes
Godrej Palm Grove,"3 BHK Flat for sale in Chembarambakkam, Chennai",₹94.6 L,"Chembarambakkam, Chennai",1426,6630,3,No
Jain Inseli Park,"2 BHK Flat for sale in Padur, Chennai",₹60.0 L,"Padur, Chennai",1121,5350,3,Yes
Pacifica Pride Towers,"2 BHK Flat for sale in Padur, Chennai",₹67.0 L,"Padur, Chennai",1261,5310,3,No
Prestige Courtyards by Prestige Estates Projects Ltd.,"3 BHK Flat for sale in Sholinganallur, Chennai",₹1.32 Cr,"Sholinganallur, Chennai",1689,7820,3,Yes
TVS Flourish ,"2 BHK Flat for sale in Padappai, Chennai",₹45.0 L,"Padappai, Chennai",886,5080,3,No
Purva Windermere,"1 RK Flat for sale in Pallikaranai, Chennai",₹45.0 L,"Pallikaranai, Chennai",620,7260,2,No
Golden Opulence by Golden Homes,"2 BHK Flat for sale in Poonamallee, Chennai",₹60.0 L,"Poonamallee, Chennai",1093,5490,3,Yes
TVS Green Acres,"2 BHK Flat for sale in Kolapakkam - Vandalur, Chennai",₹70.0 L,"Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",1047,6680,3,No
Casagrand Cherry Pick,"3 BHK Flat for sale in Perumbakkam, Chennai",₹85.0 L,"Arasankazhani, Perumbakkam,Chennai",1559,5450,3,Yes
MP Montana,"2 BHK Flat for sale in Thiruneermalai, Chennai",₹50.0 L,"Manikandan Nagar, Thiruneermalai,Chennai",853,5860,3,No
SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",₹52.0 L,"Perungalathur, Chennai",1317,3950,3,No
Alliance Galleria Residences,"1 BHK Flat for sale in Old Pallavaram, Chennai",₹52.0 L,"Arulmurugan Nagar, Old Pallavaram,Chennai",618,8410,2,No
Golden Luxury Villas by Golden Homes,"3 BHK Villa for sale in Ekkatuthangal, Chennai",₹2.9 Cr,"Ekkatuthangal, Chennai",1200,24170,3,No
Aurum Villas,"3 BHK Villa for sale in Padur, Chennai",₹1.65 Cr,"Padur, Chennai",2150,7670,4,Yes
Mahindra Nova,"2 BHK Flat for sale in Chettipunyam, Chennai",₹29.0 L,"Chettipunyam, Chennai",604,4800,2,Yes
"Chettipunyam, Chennai","2 BHK Flat for sale in Chettipunyam, Chennai",₹38.0 L,"Chettipunyam, Chennai",836,4540,3,No
Kochar Neetu Arjun Garden,"1 BHK Flat for sale in Gerugambakkam, Chennai",₹72.0 L,"Bharathi Nagar, Gerugambakkam,Chennai",1009,7130,3,Yes
CasaGrand Primera,"1 RK Flat for sale in Manapakkam, Chennai",₹47.0 L,"Periya Palayatamman Nagar, Manapakkam,Chennai",425,11060,2,Yes
MP Silver Bells,"2 BHK Flat for sale in Kundrathur, Chennai",₹45.0 L,"Kundrathur, Chennai",711,6330,2,No
Casagrand Arena,"3 BHK Villa for sale in Oragadam Ambattur, Chennai",₹1.25 Cr,"Oragadam Ambattur, Chennai",1545,8090,3,Yes
Silversky Lakeside3,"3 BHK Flat for sale in Puzhal, Chennai",₹88.41 L,"New Central Jail, Puzhal,Chennai",1551,5700,3,No
Casagrand Arena,"3 BHK Villa for sale in Oragadam Ambattur, Chennai",₹80.0 L,"Oragadam Ambattur, Chennai",1352,5920,3,No
MP Silver Bells,"2 BHK Flat for sale in Kundrathur, Chennai",₹45.0 L,"Kundrathur, Chennai",711,6330,2,Yes
MP Silver Bells,"2 BHK Flat for sale in Kundrathur, Chennai",₹45.0 L,"Kundrathur, Chennai",711,6330,2,No
Sai Navarathinam,"2 BHK Flat for sale in Korattur, Chennai",₹72.0 L,"Korattur Tank, Korattur,Chennai",961,7490,3,No
Jubliee Residences,"1 BHK Flat for sale in Moolakazhani, Chennai",₹24.0 L,"Moolakazhani, Chennai",482,4980,2,Yes
CasaGrand Savoye,"2 BHK Flat for sale in Karapakkam, Chennai",₹72.0 L,"Karapakkam, Chennai",1037,6940,3,No
